OTU	Kingdom	Phylum	Class	Order	Family	Genus	Species	Element
contig_1820	Kingdom_undefined	Kingdom_undefined_Phylum_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus_dark_matter sp. cat1162	dark_matter sp. cat1162
contig_1365	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	Obolenskvirus	Acinetobacter virus AbC62	Myoviridae sp. ctwCx405
contig_1573	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Flavonifractor	Flavonifractor sp. An82	Flavonifractor sp. An82 sp. cat1527
contig_2276	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	Microviridae_undefined_genus	Microviridae_undefined_genus_undefined_species	Microviridae sp. ctZHV410
contig_1054	Bacteria	Firmicutes	not classified	not classified	not classified	not classified	Firmicutes sp. cat1053	Firmicutes sp. cat1053
contig_2228	Bacteria	Firmicutes	Clostridia	Clostridiales	not classified	not classified	Clostridiales sp. cat2100	Clostridiales sp. cat2100
contig_1561	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae	Podoviridae_undefined_genus	Podoviridae_undefined_genus_undefined_species	CrAss-like virus sp. ctXrH620
contig_1327	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	Microviridae_undefined_genus	Microviridae_undefined_genus_undefined_species	Microviridae sp. ctyj4363
contig_1724	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae	Salasvirus	Salasvirus_undefined_species	Podoviridae sp. ctjO6801
contig_439	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Siphoviridae_undefined_genus	Siphoviridae_undefined_genus_undefined_species	Siphoviridae sp. ctMsY828
contig_193	Kingdom_undefined	Kingdom_undefined_Phylum_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus_dark_matter sp. cat1184	dark_matter sp. cat1184
contig_702	Bacteria	not classified	not classified	not classified	not classified	not classified	not classified sp. cat2757	not classified sp. cat2757
contig_1245	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Pepyhexavirus	Rhodococcus virus Poco6	Siphoviridae sp. ctppQ272
contig_1238	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	not classified	not classified	Bacteroidales sp. cat1222	Bacteroidales sp. cat1222
contig_1381	Bacteria	Bacteria_undefined_phylum	Bacteria_undefined_phylum_undefined_class	Bacteria_undefined_phylum_undefined_class_undefined_order	Bacteria_undefined_phylum_undefined_class_undefined_order_undefined_family	Bacteria_undefined_phylum_undefined_class_undefined_order_undefined_family_undefined_genus	Parcubacteria group bacterium ADurb.Bin216	Parcubacteria group bacterium ADurb.Bin216 sp. cat1358
contig_1409	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_undefined_family	Intestinimonas	Intestinimonas butyriciproducens	Intestinimonas butyriciproducens sp. cat1383
contig_1540	Kingdom_undefined	Kingdom_undefined_Phylum_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus_dark_matter sp. cat1097	dark_matter sp. cat1097
contig_1596	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	Microviridae_undefined_genus	Microviridae_undefined_genus_undefined_species	Microviridae sp. ctjo5658
contig_2101	Bacteria	Firmicutes	Negativicutes	not classified	not classified	not classified	Negativicutes sp. cat1997	Negativicutes sp. cat1997
contig_1219	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Cequinquevirus	Cequinquevirus_undefined_species	Siphoviridae sp. ctSIX243
contig_2097	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides sp. CAG:409	Parabacteroides sp. CAG:409 sp. cat1994
contig_2183	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Siphoviridae_undefined_genus	Siphoviridae_undefined_genus_undefined_species	Siphoviridae sp. ct3JW309
contig_916	not classified	not classified	not classified	not classified	not classified	not classified	not classified sp. cat2955	not classified sp. cat2955
